Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 8486 8113
Dim 2: 2182 2996
Dim 3: 8423 5544
Object coordinates:
178: 82.2413 78.3609 102.484 
179: 100.746 105.205 128.704 
180: 19.0691 135.554 117.494 
181: 117.323 92.7447 81.2696 
182: 103.843 76.9295 48.8331 
183: 115.299 140.181 109.212 
184: 92.402 73.2679 30.0184 
185: 88.879 140.64 133.725 
186: 104.656 106.761 129.256 
187: 73.7475 128.374 97.7436 
188: 17.951 95.1759 116.959 
189: 22.2409 76.1976 112.03 
190: 74.0643 130.827 133.983 
191: 79.2521 91.12 157.536 
192: 86.6006 120.113 73.3878 
193: 97.1244 118.936 115.988 
194: 105.871 97.2577 136.492 
195: 71.5371 101.406 118.658 
196: 73.8187 26.708 79.1489 
197: 69.019 107.855 52.6145 
198: 124.951 62.9224 95.0826 
199: 58.5783 136.508 76.1182 
200: 29.2535 97.5551 104.161 
201: 64.6291 81.3368 113.125 
202: 113.212 135.984 148.434 
203: 83.4883 81.47 169.995 
204: 64.3775 111.269 153.046 
205: 89.4142 109.198 96.0437 
206: 94.3167 93.6814 139.956 
207: 96.0853 60.4974 96.0664 
208: 108.587 60.7314 112.214 
209: 147.273 106.721 61.3074 
210: 82.1469 69.5322 109.368 
211: 99.9474 107.539 97.1897 
212: 94.9626 108.332 108.038 
213: 51.1979 104.603 79.0843 
214: 143.252 103.289 114.582 
215: 108.805 95.6898 133.544 
216: 81.5401 129.306 128.311 
217: 91.866 40.6328 79.8556 
218: 93.3667 79.2173 97.8838 
219: 110.036 72.9247 103.827 
220: 177.893 109.061 100.605 
221: 157.802 87.0573 104.154 
222: 91.9317 141.181 70.4319 
223: 55.7136 92.4241 162.681 
224: 69.2051 127.915 102.644 
225: 109.231 97.4255 72.6285 
226: 62.5333 123.121 108.026 
227: 80.9076 134.064 132.637 
228: 61.565 103.008 54.1946 
229: 108.78 108.338 107.698 
230: 98.0728 102.712 103.068 
231: 57.6226 63.4018 132.378 
232: 124.23 68.8277 31.1771 
233: 86.8508 94.7853 101.422 
234: 79.2996 125.757 71.8696 
235: 101.243 50.2999 82.5975 
236: 85.6173 85.101 131.391 
237: 118.429 169.718 65.8503 
238: 45.3356 112.112 121.552 
239: 90.414 133.996 50.3798 
240: 121.476 103.183 131.62 
241: 56.7557 137.834 99.8519 
242: 65.9488 122.077 40.8149 
243: 135.089 114.692 40.3319 
244: 113.127 85.1271 99.0511 
245: 65.4788 52.6226 82.7053 
246: 105.511 103.031 65.0537 
247: 99.0504 32.2012 106.662 
248: 131.785 76.6482 123.695 
249: 100.942 68.3818 84.1511 
250: 105.297 82.7802 91.7646 
251: 73.9049 100.016 94.1729 
252: 82.23 55.5697 58.4825 
253: 109.705 89.9348 44.1064 
254: 90.1777 89.1919 66.9143 
255: 125.809 42.5314 81.2993 
256: 132.715 118.13 40.5966 
257: 76.3671 176.309 77.3998 
258: 89.7271 115.724 114.342 
259: 98.2162 87.4969 109.757 
260: 99.9307 114.588 29.2277 
261: 75.5666 37.8528 111.543 
262: 78.7151 103.191 133.871 
263: 35.9723 89.1719 58.1536 
264: 68.679 135.363 71.8193 
265: 111.041 93.105 42.0476 
266: 71.6896 98.5203 77.3056 
267: 74.5218 80.5176 95.234 
268: 96.498 94.4568 107.948 
269: 86.7924 101.498 92.7084 
270: 122.928 99.7319 79.6343 
271: 82.7857 100.686 74.6591 
272: 107.507 98.7792 64.618 
273: 62.9856 105.639 38.3522 
274: 69.6437 128.134 101.02 
275: 62.5467 90.2084 89.146 
276: 112.31 97.5959 110.835 
277: 81.936 126.873 61.5859 
278: 56.1229 108.074 143.112 
279: 94.7669 114.111 40.624 
280: 114.346 60.058 84.3076 
281: 114.731 103.279 101.378 
282: 117.976 90.0861 128.687 
283: 70.0178 85.0203 82.4644 
284: 107.843 37.3967 104.449 
285: 155.627 95.8459 87.8133 
286: 96.5604 110.89 94.4883 
287: 101.367 85.4725 129.245 
288: 91.2851 77.8104 45.7685 
289: 96.5502 33.123 119.486 
290: 61.8204 114.208 86.0689 
291: 90.2996 75.6635 119.407 
292: 66.3607 117.339 87.5459 
293: 40.0949 54.6791 90.7955 
294: 99.1364 113.881 19.8986 
295: 104.06 174.723 98.608 
296: 112.56 114.935 96.1955 
297: 53.4777 121.765 123.593 
298: 81.2661 104.909 69.5036 
299: 59.3934 148.617 100.617 
300: 95.2943 27.9625 116.227 
301: 83.5182 107.607 69.0127 
302: 94.1727 85.9378 143.129 
303: 122.939 107.832 71.4841 
304: 121.625 139.5 91.0762 
305: 100.246 112.374 51.5326 
306: 80.7973 70.4571 126.428 
307: 130.605 122.185 78.4335 
308: 94.9815 154.77 63.513 
309: 113.154 143.833 85.4308 
310: 117.962 65.1014 74.0972 
311: 104.625 139.36 85.0824 
312: 94.7624 90.7447 77.9177 
313: 141.352 91.4428 103.166 
314: 42.8424 86.5225 81.1391 
315: 101.275 100.594 112.145 
316: 97.9748 79.8129 129.763 
317: 99.9489 123.111 95.4673 
318: 95.4834 39.4913 109.024 
319: 81.9218 50.8268 61.6685 
320: 135.373 112.635 125.285 
321: 102.27 82.5628 77.7393 
322: 108.623 110.351 113.444 
323: 109.886 115.201 114.479 
324: 102.072 155.515 100.073 
325: 134.531 117.599 120.642 
326: 86.0978 123.968 98.6741 
327: 86.3454 136.443 130.707 
328: 83.9894 110.65 52.4118 
329: 131.429 147.647 134.237 
330: 112.445 117.461 116.221 
331: 83.4479 149.768 108.56 
332: 113.216 37.5625 81.8348 
333: 78.6423 141.15 142.63 
334: 64.1244 119.321 117.642 
335: 66.684 57.7363 90.6453 
336: 70.0779 108.578 90.4053 
337: 106.97 140.763 86.1446 
338: 118.905 36.8391 82.1008 
339: 28.7609 70.5662 102.215 
340: 128.533 67.5008 60.6739 
341: 56.75 72.1288 110.043 
342: 116.572 131.894 145.764 
343: 54.9152 107.792 98.4053 
344: 91.9952 100.969 151.951 
345: 69.0254 134.036 93.6098 
346: 126.236 73.5144 79.3694 
347: 64.6787 130.187 146.489 
348: 112.4 77.1542 116.02 
349: 122.588 113.433 62.8742 
350: 86.6734 138.442 85.825 
351: 120.88 83.705 82.528 
352: 78.0113 127.54 92.7493 
353: 82.517 69.1567 80.9236 
354: 157.652 105.146 77.4718 
355: 70.65 134.762 103.684 
356: 82.0844 86.7143 131.915 
357: 109.909 106.103 117.357 
358: 98.8208 70.1977 131.192 
359: 83.0361 154.762 76.5621 
360: 72.198 129.755 83.2725 
361: 111.317 122.827 97.641 
362: 64.2575 112.611 116.312 
363: 73.7446 113.696 61.1336 
364: 82.5148 140.1 81.0328 
365: 87.8213 122.652 87.1894 
366: 68.341 72.6486 139.474 
367: 119.322 152.896 99.8138 
368: 43.7377 65.4303 71.6862 
369: 54.252 86.1995 75.7649 
370: 60.921 53.1768 106.539 
371: 88.6321 100.272 112.155 
372: 105.573 81.9175 57.3518 
373: 25.2369 111.355 102.228 
374: 30.16 69.667 93.1638 
375: 118.792 112.853 129.55 
376: 107.746 98.6339 142.192 
377: 71.6122 174.776 108.049 
378: 128.163 106.364 90.9942 
379: 81.3833 140.554 122.069 
380: 121.06 150.572 70.9924 
381: 156.948 94.7732 98.1431 
382: 66.5889 87.1416 75.9975 
383: 108.651 109.426 150.902 
384: 90.0665 130.201 47.2896 
385: 90.8954 104.056 65.5498 
386: 103.328 78.2117 108.063 
387: 105.794 112.723 99.5571 
388: 80.7169 103.956 113.033 
389: 78.1404 87.8601 103.277 
390: 130.976 86.0054 52.914 
