Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 286 508
Dim 2: 532 871
Dim 3: 506 781
Object coordinates:
0: 154.662 115.166 97.4185 
1: 115.293 66.4935 94.4552 
2: 81.3603 159.449 71.7916 
3: 72.3018 118.391 77.825 
4: 72.5958 71.3677 72.4417 
5: 93.1677 61.4876 82.9194 
6: 100.908 111.891 79.8929 
7: 86.4143 79.0171 68.7873 
8: 79.6129 101.421 103.625 
9: 73.3227 60.7168 69.7515 
10: 55.7579 36.9902 108.112 
11: 81.0933 42.122 106.891 
12: 137.985 86.0721 83.0214 
13: 94.7468 121.719 63.7593 
14: 119.491 88.805 39.2197 
15: 101.284 47.8562 51.8247 
16: 53.5194 32.4359 104.193 
17: 112.207 53.1347 53.9046 
18: 119.5 36.7352 84.7546 
19: 84.7643 77.7727 10.6072 
20: 84.1692 38.188 82.2552 
21: 39.9601 50.0002 107.323 
22: 127.265 105.279 55.4966 
23: 129.506 35.487 116.356 
24: 97.8584 72.6771 47.5216 
25: 131.028 123.774 85.2636 
26: 70.7254 90.6269 101.354 
27: 83.0181 79.4313 112.305 
28: 93.6165 102.027 61.7165 
29: 101.824 98.4792 110.563 
30: 45.0765 103.344 109.606 
31: 64.7991 91.7345 119.753 
32: 81.4434 96.4013 124.656 
33: 55.5706 109.005 101.531 
34: 76.0295 142.195 78.3246 
35: 98.852 59.1002 101.531 
36: 112.72 70.5223 55.525 
37: 134.823 134.768 83.3733 
38: 148.311 102.597 67.7675 
39: 62.1545 83.3388 64.2165 
40: 100.457 104.326 88.0335 
41: 68.2692 68.514 99.1409 
42: 50.6902 101.558 62.1669 
43: 63.0877 133.694 66.3958 
44: 150.582 109.15 60.2841 
45: 142.291 132.058 89.4655 
46: 133.901 71.8219 42.9944 
47: 55.1563 123.509 103.404 
48: 94.674 58.2194 99.6203 
49: 29.2995 69.0287 59.3088 
50: 31.9144 58.3225 51.5534 
51: 143.183 126.088 63.272 
52: 139.153 46.1377 78.1627 
53: 103.623 110.362 124.992 
54: 160.221 89.3472 83.3651 
55: 87.3237 124.96 92.8732 
56: 68.4899 72.7317 113.473 
57: 68.6627 69.5502 67.5552 
